age,A122,A123,BMI,A104
49,165,45,16.52892562,2
49,170,70,24.22145329,1
49,168,75,26.57312925,1
49,160,45,17.578125,2
49,165,63,23.14049587,1
49,160,45,17.578125,2
49,160,60,23.4375,2
49,150,60,26.66666667,2
49,168,65,23.03004535,2
49,157,56,22.7189744,2
50,165,70,25.71166208,2
50,163,50,18.81892431,2
50,175,75,24.48979592,1
50,150,55,24.44444444,2
50,170,72,24.91349481,1
50,160,65,25.390625,1
50,175,80,26.12244898,1
50,178,70,22.09317005,1
50,162,63,24.00548697,2
50,170,72,24.91349481,1
50,165,55,20.2020202,2
50,172,60,20.2812331,1
50,160,55,21.484375,2
50,168,60,21.2585034,1
50,162,61,23.24340802,2
50,158,50,20.02884153,2
50,170,71,24.56747405,1
50,175,93,30.36734694,1
50,171,74,25.30693205,1
50,175,75,24.48979592,1
51,172,78,26.36560303,1
51,158,55,22.03172568,2
51,150,50,22.22222222,2
51,165,68,24.97704316,2
51,153,48,20.504934,2
51,166,60,21.77384236,1
51,164,50,18.59012493,2
51,155,58,24.14151925,2
52,158,55,22.03172568,2
52,170,70,24.22145329,1
52,165,65,23.87511478,2
52,175,68,22.20408163,1
52,165,55,20.2020202,1
52,170,80,27.6816609,1
52,158,70,28.04037814,2
52,172,75,25.35154137,1
52,166,70,25.40281608,2
52,170,65,22.49134948,1
53,163,60,22.58270917,2
53,172,72,24.33747972,1
53,170,55,19.03114187,1
53,160,58,22.65625,1
53,167,65,23.30668005,1
53,163,65,24.4646016,2
53,175,70,22.85714286,1
53,175,60,19.59183673,1
53,158,60,24.03460984,2
53,172,88,29.74580855,1
53,160,80,31.25,1
54,170,75,25.95155709,1
54,163,64,24.08822312,2
54,160,60,23.4375,2
54,175,64,20.89795918,1
54,160,55,21.484375,2
54,165,70,25.71166208,2
54,165,75,27.54820937,2
54,161,51,19.67516685,2
54,175,90,29.3877551,1
54,160,60,23.4375,2
55,170,70,24.22145329,1
55,158,68,27.23922448,2
55,175,63,20.57142857,1
55,155,60,24.97398543,2
55,162,55,20.95717116,2
56,158,55,22.03172568,2
56,168,75,26.57312925,1
56,170,80,27.6816609,2
56,156,50,20.54569362,1
56,160,70,27.34375,2
56,168,70,24.8015873,1
56,175,75,24.48979592,1
57,160,60,23.4375,2
57,151,45,19.73597649,2
57,172,70,23.66143862,1
57,160,55,21.484375,2
57,160,55,21.484375,2
57,165,70,25.71166208,1
57,166,66,23.95122659,2
57,175,63,20.57142857,1
57,158,60,24.03460984,2
57,170,70,24.22145329,1
58,160,57,22.265625,2
58,164,64,23.7953599,1
58,165,68,24.97704316,2
58,175,70,22.85714286,2
58,175,64,20.89795918,1
58,163,61,22.95908766,2
59,170,70,24.22145329,1
59,165,60,22.03856749,1
59,176,70,22.5981405,1
59,168,64,22.67573696,2
59,159,62,24.52434635,2
59,172,62,20.9572742,1
60,167,60,21.51385851,1
60,170,60,20.76124567,1
60,160,65,25.390625,2
60,178,80,25.2493372,1
60,165,68,24.97704316,2
60,176,75,24.21229339,1
60,175,70,22.85714286,1
60,158,68,27.23922448,2
60,175,80,26.12244898,1
60,169,62,21.70792339,2
61,170,73,25.25951557,1
61,152,60,25.96952909,2
61,174,68,22.46003435,1
61,160,52,20.3125,1
61,172,55,18.59113034,1
62,155,65,27.05515088,2
62,153,52,22.2136785,2
62,166,65,23.58832922,2
62,180,88,27.16049383,1
62,164,53,19.70553242,2
62,170,71,24.56747405,1
62,156,57,23.42209073,2
62,168,83,29.40759637,1
63,180,65,20.0617284,1
63,170,65,22.49134948,1
63,158,65,26.03749399,2
63,165,60,22.03856749,2
63,172,70,23.66143862,1
63,160,60,23.4375,2
63,162,53,20.19509221,2
63,168,67,23.73866213,1
63,155,57,23.72528616,1
64,165,60,22.03856749,2
64,170,74,25.60553633,1
64,170,80,27.6816609,1
64,173,65,21.71806609,1
64,173,78,26.06167931,1
64,162,60,22.86236854,2
64,155,52,21.64412071,2
64,165,71,26.07897153,2
64,178,60,18.9370029,1
64,150,60,26.66666667,2
64,160,62,24.21875,2
64,160,50,19.53125,2
65,180,70,21.60493827,1
65,163,65,24.4646016,2
65,168,75,26.57312925,2
65,156,61,25.06574622,2
66,145,50,23.78121284,2
66,170,70,24.22145329,1
66,170,75,25.95155709,2
66,175,75,24.48979592,1
66,166,70,25.40281608,1
66,171,70,23.93898977,1
66,170,66,22.83737024,1
66,180,75,23.14814815,1
67,175,80,26.12244898,1
67,165,65,23.87511478,2
67,162,60,22.86236854,2
67,160,75,29.296875,1
67,172,70,23.66143862,1
67,162,66,25.1486054,2
67,156,50,20.54569362,2
68,167,72,25.81663021,2
68,160,65,25.390625,2
68,162,60,22.86236854,2
69,175,70,22.85714286,1
69,160,65,25.390625,2
69,173,80,26.7299275,1
69,172,80,27.04164413,1
69,165,55,20.2020202,2
69,161,69,26.61934339,2
69,158,55,22.03172568,1
70,165,75,27.54820937,2
70,170,70,24.22145329,1
70,158,46,18.42653421,2
70,160,45,17.578125,2
70,170,70,24.22145329,2
70,165,65,23.87511478,1
71,160,55,21.484375,2
71,155,67,27.88761707,2
71,170,65,22.49134948,1
71,158,59,23.63403301,2
71,171,63,21.5450908,1
72,178,70,22.09317005,1
72,168,75,26.57312925,1
72,156,59,24.24391847,2
72,172,65,21.97133586,1
72,172,48,16.22498648,1
72,150,120,53.33333333,2
74,163,65,24.4646016,1
74,160,68,26.5625,2
74,158,58,23.23345618,2
75,155,48,19.97918835,2
75,156,67,27.53122945,2
75,170,62,21.4532872,1
75,162,48,18.28989483,2
76,155,75,31.21748179,2
76,160,56,21.875,2
76,170,68,23.52941176,1
76,156,60,24.65483235,2
76,160,55,21.484375,1
77,160,65,25.390625,2
77,153,45,19.22337562,2
78,150,78,34.66666667,2
78,160,70,27.34375,1
78,165,60,22.03856749,2
78,155,60,24.97398543,2
79,155,53,22.0603538,1
79,155,60,24.97398543,2
79,170,65,22.49134948,1
80,162,65,24.76756592,2
80,175,85,27.75510204,1
80,170,80,27.6816609,1
82,165,60,22.03856749,2
82,174,65,21.46915048,1
82,170,60,20.76124567,1
82,160,55,21.484375,2
83,178,75,23.67125363,1
83,156,45,18.49112426,2
83,161,49,18.90359168,2
84,155,60,24.97398543,2
87,158,55,22.03172568,2
87,160,55,21.484375,2
90,175,46,15.02040816,1
